強化次數,單次消耗金幣,累積消耗金幣
1,1000,1000
2,1195,2195
3,1395,3590
4,1600,5190
5,1811,7001
6,2027,9028
7,2248,11276
8,2475,13751
9,2707,16458
10,2943,19401
11,3185,22586
12,3432,26018
13,3684,29702
14,3941,33643
15,4203,37846
16,4470,42316
17,4741,47057
18,5018,52075
19,5299,57374
20,5585,62959
21,5875,68834
22,6170,75004
23,6470,81474
24,6774,88248
25,7083,95331
26,7396,102727
27,7714,110441
28,8036,118477
29,8362,126839
30,8692,135531
31,9027,144558
32,9366,153924
33,9710,163634
34,10057,173691
35,10408,184099
36,10764,194863
37,11123,205986
38,11487,217473
39,11854,229327
40,12225,241552
41,12600,254152
42,12979,267131
43,13361,280492
44,13748,294240
45,14138,308378
46,14531,322909
47,14928,337837
48,15329,353166
49,15733,368899
50,16141,385040
51,16552,401592
52,16966,418558
53,17384,435942
54,17805,453747
55,18229,471976
56,18657,490633
57,19087,509720
58,19521,529241
59,19958,549199
60,20398,569597
61,20840,590437
62,21286,611723
63,21735,633458
64,22186,655644
65,22641,678285
66,23098,701383
67,23558,724941
68,24021,748962
69,24486,773448
70,24954,798402
71,25424,823826
72,25897,849723
73,26373,876096
74,26851,902947
75,27331,930278
76,27814,958092
77,28299,986391
78,28786,1015177
79,29276,1044453
80,29767,1074220
81,30261,1104481
82,30757,1135238
83,31256,1166494
84,31756,1198250
85,32258,1230508
86,32762,1263270
87,33268,1296538
88,33776,1330314
89,34285,1364599
90,34797,1399396
91,35310,1434706
92,35825,1470531
93,36341,1506872
94,36860,1543732
95,37379,1581111
96,37901,1619012
97,38423,1657435
98,38947,1696382
99,39473,1735855
100,40000,1775855
101,40531,1816386
102,41071,1857457
103,41617,1899074
104,42171,1941245
105,42733,1983978
106,43302,2027280
107,43878,2071158
108,44461,2115619
109,45052,2160671
110,45650,2206321
111,46254,2252575
112,46866,2299441
113,47485,2346926
114,48110,2395036
115,48742,2443778
116,49381,2493159
117,50026,2543185
118,50678,2593863
119,51337,2645200
120,52002,2697202
121,52673,2749875
122,53350,2803225
123,54034,2857259
124,54724,2911983
125,55420,2967403
126,56122,3023525
127,56829,3080354
128,57543,3137897
129,58263,3196160
130,58988,3255148
131,59719,3314867
132,60456,3375323
133,61198,3436521
134,61945,3498466
135,62698,3561164
136,63456,3624620
137,64220,3688840
138,64989,3753829
139,65763,3819592
140,66542,3886134
141,67326,3953460
142,68115,4021575
143,68908,4090483
